claim,evidence,status,remaining_uncertainty
"Soluble Aβ oligomers facilitate NMDA-R/mGluR1-dependent hippocampal LTD, independent of plaque","Ex vivo hippocampal slices, primary neuron culture, AKAP150 knock-in mice [6-10,49]",Established,Human in vivo relevance at physiological concentrations
ERβ/GPER1 signaling modulates hippocampal spine density and plasticity,"Electrophysiology, receptor knockout mice, ex vivo morphology [11-17]",Established,Translation from acute slice effects to chronic in vivo state
GPER1 effects on plasticity are uniformly anti-LTD/pro-LTP,Direct electrophysiological evidence of GPER1-dependent mGluR-LTD [16],Refuted as stated; context-dependent,Which conditions favor GPER1's pro-LTP vs. pro-LTD action
Allopregnanolone decline reduces tonic GABAergic inhibition via GABA-A δ-subunit receptors,"Postpartum depression cohorts, brexanolone/zuranolone RCTs [18-23]",Established,Generalization from postpartum to perimenopausal population
Perimenopausal transition increases depression risk,"Epidemiological cohorts, meta-analyses [5,24,25]",Established,Whether fluctuation or deficiency is the operative variable (Section 3.3)
Systemic hormone therapy protects cognition/reduces dementia risk,"Multiple RCTs (KEEPS, ELITE, WHI) and meta-analyses, largely null-to-mixed [37-44]",Contested / largely null in RCTs,"Whether any subgroup (surgical menopause, APOE4 status, timing) benefits"
Sex differences and APOE4 interact to elevate female Alzheimer's risk,"Large cohort meta-analyses, mouse models [26-30]",Established,Precise mechanism linking APOE4-sex interaction to endocrine transition
Perimenopausal HPA-axis dysregulation mediates depression risk increase,Mixed: some cohorts show cortisol rise; controlled Dex/CRH studies show normal reactivity [45-48],Contested,Whether HPA-axis involvement is present in a subgroup
"Endocrine state and proteoform burden act on convergent synaptic machinery (same threshold, BCM framework)",Structural/mechanistic overlap (NMDA-R/glutamatergic signaling in shared circuits); no combined study,Structurally plausible / Proposed,No direct experimental test exists (Section 9 addresses this gap)
"Endocrine state and proteoform burden are reciprocally interacting (Model 5, Section 5.2) rather than independent (Model 1) or upstream-driven (Model 4)",No direct experimental test identified,Hypothesized (this review's central claim),Requires the full research agenda in Section 9 to adjudicate among Models 1-5
